"ano","banco_publico","banco_privado_nacional","banco_privado_estrangeiro","data","bancos_publicos_real","bancos_privado_nacional_real","bancos_privado_estrangeiro"
"2000",207120410,112045664,73900781,2000-12-31,859063335,464726396,306514705
"2001",117002285,131681579,91936528,2001-12-31,450971455,507551055,354358462
"2002",144966167,145359183,98576850,2002-12-31,503688551,505054095,342507716
"2003",173540943,162671363,91591054,2003-12-31,543128006,509109674,286650894
"2004",192632294,193835849,115573388,2004-12-31,562192920,565705468,337298275
"2005",223675504,243046802,144664854,2005-12-31,614590350,667816621,397493788
"2006",269021830,306371736,165110298,2006-12-31,717531094,817150217,440379774
"2007",319041145,417230921,211170300,2007-12-31,816738507,1068102233,540591451
"2008",446424621,525705440,265055908,2008-12-31,1074210502,1264980196,637791525
"2009",590335056,572663252,262987961,2009-12-31,1362999363,1322197690,607201655
"2010",717371596,700862671,301094615,2010-12-31,1567956632,1531873131,658101465
"2011",887551460,799451648,355334126,2011-12-31,1819105744,1638538328,728284926
"2012",1134872966,855170302,388595820,2012-12-31,2204042292,1660830392,754693827
"2013",1404195348,926319828,413971724,2013-12-31,2578217814,1700799170,760086034
"2014",1643468915,976322477,452404044,2014-12-31,2831904139,1682326716,779549204
"2015",1821453875,982210512,475532491,2015-12-31,2840980190,1531985325,741703320
"2016",1761634248,1011000860,401395070,2016-12-31,2568225813,1473903285,585180029
"2017",1699994846,1008602625,419893185,2017-12-31,2410771008,1430304317,595452580
"2018",1687912206,1105839688,475725855,2018-12-31,2300555365,1507214308,648394901
"2019",1644402138,1278722729,546673673,2019-12-31,2170181507,1687580158,721466525
"2020",1826066610,1561061471,638397613,2020-12-31,2310327791,1975044985,807696575
"2021",2021512522,1967029706,696136969,2021-12-31,2309589427,2247342503,795340403
"2022",2307986062,2281671321,764320022,2022-12-31,2489961196,2461571647,824583488
"2023",2521399631,2434583908,826624451,2023-12-31,2598499121,2509028742,851901017
"2024",2631574048,2533034042,847171737,2024-06-30,2637101639,2538354651,848951212
